month,social_media_mentions,monthly_revenue
2015-01,1000.0,500.0
2015-02,989.4002384063925,504.79275634956315
2015-03,1005.6570063434893,509.9927231892808
2015-04,1024.7654770893575,526.5845989416852
2015-05,1000.49994925955,537.935711400831
2015-06,985.9672566566153,544.5044219923261
2015-07,992.8848627041245,562.1374509045218
2015-08,993.1412238189708,553.2498203612932
2015-09,997.8892064564066,549.8523050337958
2015-10,990.0935475428029,543.5865456197406
2015-11,1008.2845171657453,542.688447588183
2015-12,1024.9513961971795,531.9215861126198
2016-01,1030.9418566605978,541.2730955807639
2016-02,1052.8504747651182,542.0508686097761
2016-03,1064.8631148988989,530.3428056647496
2016-04,1056.9737279556502,523.1870148526741
2016-05,1067.5049897168876,529.322153327176
2016-06,1058.1217507044526,540.7034190061198
2016-07,1076.2985052240617,563.6707279230377
2016-08,1080.5496165592679,595.809352583111
2016-09,1082.776681106089,602.953446915871
2016-10,1077.5627379400298,596.0580657155524
2016-11,1100.9008580201403,577.7376029082393
2016-12,1103.5829157891083,583.4147175316776
2017-01,1102.1579984566617,578.2853065785744
2017-02,1101.8759951993384,577.1317339767775
2017-03,1114.8606329826387,574.0107659861794
2017-04,1125.3422939481,575.6028571220156
2017-05,1136.5332831220398,589.2626594298921
2017-06,1147.995598167158,593.8331451043456
2017-07,1185.120312180215,595.2467967339587
2017-08,1184.0240869344457,587.8902592057007
2017-09,1181.3404459983726,574.1434297586571
2017-10,1174.1338550746545,572.2803506679238
2017-11,1188.373546413287,574.7425251597406
2017-12,1210.3081308041003,595.4218242955394
2018-01,1213.5989189392772,599.7245695102682
2018-02,1205.9965717848393,612.5519646204988
2018-03,1198.6293535494706,610.5590086351073
2018-04,1213.3882453668411,601.709570970937
2018-05,1229.5370579348928,595.0584033486133
2018-06,1242.6843719594708,590.8061427032558
2018-07,1237.7017263501405,615.0908400276074
2018-08,1246.1841461961412,609.8769732353636
2018-09,1252.9344333332522,621.261865272727
2018-10,1261.2147622841874,615.2325934918567
2018-11,1279.2861939534102,627.5483236205991
2018-12,1287.6401271850305,634.3978332816578
2019-01,1302.8238306311089,635.8314543050768
2019-02,1308.8375166734422,638.4238290437224
2019-03,1318.174307653792,634.8759520894286
2019-04,1332.64363104137,642.3366741042494
2019-05,1315.786293743535,640.7868393008416
2019-06,1315.9912254981755,631.5307816631691
2019-07,1313.9356356837836,621.751405919973
2019-08,1309.3524679601335,626.4772850971941
2019-09,1310.2253341917333,645.2681976612985
2019-10,1337.6494538602492,649.8681137970328
2019-11,1329.6619871248506,651.681730535934
2019-12,1349.1861624437229,657.5399919319594
2020-01,1328.9431158694858,673.6000093490277
2020-02,1328.9198404196993,678.7938343626663
2020-03,1336.3611363962743,677.6845620543289
2020-04,1350.1544713666635,691.7474491549278
2020-05,1365.8228700635564,699.035013539544
2020-06,1382.7230785915553,717.392573459504
2020-07,1382.4922025078288,722.224917831723
2020-08,1380.5569256178603,712.980227514518
2020-09,1398.4265638367176,702.2986355220613
2020-10,1400.5569989634935,721.8079148443738
2020-11,1386.4217041134245,742.0445720522068
2020-12,1374.4223959033723,743.2493799193808
2021-01,1365.630611613348,742.4175067080209
2021-02,1378.0880227741545,760.0319496304429
2021-03,1385.224408815213,751.961492810008
2021-04,1400.5816891262295,746.0142226204498
2021-05,1399.1728994311816,755.4474905673402
2021-06,1406.5509947973324,754.5014393387443
2021-07,1420.9348507068423,757.4502206715435
2021-08,1421.2946526110388,758.8157916862984
2021-09,1433.1462811744,765.1915371742878
2021-10,1428.2173920584003,782.2663557874249
2021-11,1427.7715843599242,786.1722048564424
2021-12,1427.0455159499493,795.6115927892109
2022-01,1414.1079212661136,778.1098717789007
2022-02,1426.4125084778973,780.6226877595996
2022-03,1424.3714733748564,775.1903850566708
2022-04,1429.5588851557716,766.0022544524345
2022-05,1441.7700850393603,760.220730783147
2022-06,1453.4680526798095,759.879496376139
2022-07,1468.4488293144013,772.0385217996991
2022-08,1471.97154704676,761.7745946223034
2022-09,1470.6220723660977,765.0809095482476
2022-10,1474.4262992025017,763.2392152149118
2022-11,1454.1162826931313,762.9624842712923
2022-12,1437.409595606785,775.9900625243383
2023-01,1422.569101421469,784.3712168943775
2023-02,1412.6103990074469,800.745197968805
2023-03,1423.6070124082985,802.2001411763059
2023-04,1415.0248265778976,798.2407150595989
2023-05,1414.3523882673067,799.0021268907939
2023-06,1438.8408127340977,804.4270948035061
2023-07,1438.4968531681764,809.1928283880432
2023-08,1454.5595866951826,801.3489476657095
2023-09,1445.5553214950344,805.2538454819883
2023-10,1447.47375812702,810.5361287833773
2023-11,1438.2234273033612,838.7108691587165
2023-12,1438.1379311648527,860.4793152715332
2024-01,1455.7425532267137,854.946881765945
2024-02,1434.8327468788284,855.0730481504532
2024-03,1446.3491015320162,843.4386281320832
2024-04,1454.9151355670003,840.5315579924484
2024-05,1451.0028862315485,846.6876080283517
2024-06,1434.3120184157217,861.746144237234
2024-07,1440.3939610314296,857.4553058597979
2024-08,1437.4515703954726,853.91384145912
2024-09,1445.9417135657932,835.4409511617334
2024-10,1451.2694957486449,836.8142919562844
2024-11,1480.2961791184587,829.1901478376888
2024-12,1481.7058447063632,826.895753564028
