month,X1,X2,X3,X4,Y
2015-01,10.609434159508863,3.4647537610672026,5.807848054581029,2.847477467547641,37.64695112489384
2015-02,7.9400317875190085,5.2989134524344745,7.764343614368608,3.3833938643534953,38.72785679956778
2015-03,11.540902391612914,5.3899950259576475,3.605679021608422,3.9998242469102947,40.028801694863155
2015-04,11.941129432782429,7.1287813628606544,4.3323868865225235,1.9414639180215907,43.611142392928144
2015-05,6.177929622692327,6.372666868871868,13.323117780070746,2.8749909696804226,44.62010665138846
2015-06,7.4956409862753635,5.685306588724265,4.781443546814923,4.481455547658973,31.508781637939926
2015-07,10.37568080633457,7.374954336829342,5.2580360538634014,2.2564117711874356,36.81199243180048
2015-08,9.507514815312836,3.4268554185157236,12.592283820803285,2.17774998270968,48.9932949597096
2015-09,10.126397684991423,4.280372700875379,15.262667923101016,3.2023061918311937,52.536742246086526
2015-10,8.47391214485284,3.8801360878917124,5.071083427936646,3.84438519048532,32.08263743618187
2015-11,11.958795949725657,4.715285295266348,7.079377608029923,3.0114260555606593,47.48864679549317
2015-12,11.775583870857897,3.264970778665537,8.853888877351274,4.328960590436989,50.839453382141365
2016-01,10.372061395122433,6.3127264202216065,12.321744111013981,3.856793982566527,52.16769104015207
2016-02,12.514482413936065,5.05666595435184,5.532857303929406,3.8418200668900617,46.25980425710792
2016-03,11.215018684504091,3.2137905582460133,7.386805385144726,3.5541165013240934,44.920786805556844
2016-04,8.581415074233524,3.926631378188688,9.94334394015436,5.327653100346085,45.38648951518961
2016-05,11.057501568164998,5.950270771175292,9.086915186166546,2.794838311133956,43.93742246646206
2016-06,8.422234798342002,6.767189851841572,7.059609821924752,0.9964777079334861,32.699561660818425
2016-07,12.116900602614544,8.53509633753768,7.665442588709897,4.604254361517141,37.16062146779116
2016-08,10.280148178027495,9.940793699010994,4.562760479075045,2.5423005690431744,23.19167278814149
2016-09,10.03027527290948,6.221614149913994,7.404565640063337,3.1078804443430332,32.845993156493336
